code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600016,2014-12-31,10.710000,10.950000,10.460000,10.880000,0.009276,770719306.000000,8292105694.000000,296148417080.000000,296148417080.000000,0.028315,199.248608,2014-09-30,2014-10-31,8.096637,2.948416,9.608418,1.585586,10.785351
sh600016,2014-12-30,10.770000,10.980000,10.520000,10.780000,0.004660,746930831.000000,8042287238.000000,292203485960.000000,292203485960.000000,0.027556,197.417365,2014-09-30,2014-10-31,8.022223,2.921318,9.520110,1.571013,10.686226
sh600016,2014-12-29,11.100000,11.540000,10.490000,10.730000,-0.015596,1167333894.000000,12851677517.000000,290848182220.000000,290848182220.000000,0.043065,196.501667,2014-09-30,2014-10-31,7.985013,2.907767,9.475952,1.563726,10.636659
sh600016,2014-12-26,10.840000,11.050000,10.500000,10.900000,0.014898,1118918130.000000,12083848689.000000,295456214930.000000,295456214930.000000,0.041279,199.614860,2014-09-30,2014-10-31,8.111520,2.953835,9.626080,1.588500,10.805176
sh600016,2014-12-25,10.700000,11.000000,10.350000,10.740000,0.042718,973699272.000000,10414744069.000000,291119242970.000000,291119242970.000000,0.035922,196.684653,2014-09-30,2014-10-31,7.992449,2.910475,9.484776,1.565182,10.646564
sh600016,2014-12-24,10.300000,10.770000,9.980000,10.300000,-0.019048,965885020.000000,9963641793.000000,279192570070.000000,279192570070.000000,0.035634,188.626889,2014-09-30,2014-10-31,7.665015,2.791239,9.096204,1.501060,10.210396
sh600016,2014-12-23,10.150000,11.100000,9.940000,10.500000,-0.000951,1189845067.000000,12610958969.000000,284613785020.000000,284613785020.000000,0.043896,192.289622,2014-09-30,2014-10-31,7.813853,2.845439,9.272833,1.530207,10.408660
sh600016,2014-12-22,9.490000,10.580000,9.430000,10.510000,0.091381,1906953273.000000,19578635392.000000,284884845770.000000,284884845770.000000,0.070352,192.472663,2014-09-30,2014-10-31,7.821291,2.848148,9.281660,1.531664,10.418568
sh600016,2014-12-19,9.590000,9.780000,9.300000,9.630000,0.004171,1012076552.000000,9659526876.000000,261031499980.000000,261031499980.000000,0.037338,176.356986,2014-09-30,2014-10-31,7.166417,2.609673,8.504509,1.403418,9.546225
sh600016,2014-12-18,9.890000,9.990000,9.500000,9.590000,0.012672,1631355624.000000,15851773693.000000,259947256990.000000,259947256990.000000,0.060184,175.624456,2014-09-30,2014-10-31,7.136650,2.598833,8.469184,1.397589,9.506573
sh600016,2014-12-17,8.650000,9.470000,8.590000,9.470000,0.099884,2313786618.000000,21432939712.000000,256694528020.000000,256694528020.000000,0.085360,173.426792,2014-09-30,2014-10-31,7.047346,2.566313,8.363206,1.380100,9.387613
sh600016,2014-12-16,8.200000,8.620000,8.140000,8.610000,0.046173,798483073.000000,6692107570.000000,233383303720.000000,233383303720.000000,0.029458,157.677347,2014-09-30,2014-10-31,6.407354,2.333258,7.603716,1.254769,8.535094
sh600016,2014-12-15,8.240000,8.310000,8.010000,8.230000,-0.022565,569486376.000000,4637135906.000000,223082995310.000000,223082995310.000000,0.021010,150.718234,2014-09-30,2014-10-31,6.124564,2.230279,7.268125,1.199390,8.158396
sh600016,2014-12-12,8.550000,8.750000,8.310000,8.420000,-0.022067,598016362.000000,5103560993.000000,228233149510.000000,228233149510.000000,0.022062,154.197706,2014-09-30,2014-10-31,6.265956,2.281767,7.435917,1.227079,8.346740
sh600016,2014-12-11,8.410000,8.900000,8.350000,8.610000,-0.003472,825288054.000000,7159969013.000000,233383303720.000000,233383303720.000000,0.030447,157.677168,2014-09-30,2014-10-31,6.407346,2.333255,7.603708,1.254768,8.535084
sh600016,2014-12-10,8.390000,8.750000,7.960000,8.640000,0.037215,1121543150.000000,9392618131.000000,234196485960.000000,234196485960.000000,0.041376,158.226530,2014-09-30,2014-10-31,6.429670,2.341384,7.630200,1.259139,8.564821
sh600016,2014-12-09,9.050000,9.500000,8.320000,8.330000,-0.098485,1337520107.000000,12126954363.000000,225793602780.000000,225793602780.000000,0.049344,152.549404,2014-09-30,2014-10-31,6.198975,2.257376,7.356430,1.213962,8.257517
sh600016,2014-12-08,9.000000,9.350000,8.710000,9.240000,0.016502,1326329432.000000,12135130071.000000,250460130820.000000,250460130820.000000,0.048931,169.214494,2014-09-30,2014-10-31,6.876176,2.503981,8.160075,1.346580,9.159601
sh600016,2014-12-05,9.050000,9.500000,8.600000,9.090000,0.011123,1646827308.000000,15000566942.000000,246394219600.000000,246394219600.000000,0.060755,166.467448,2014-09-30,2014-10-31,6.764547,2.463331,8.027604,1.324719,9.010903
